Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100),Exam_Completion_Time(minutes)
S1238,80,29,34,8,3,61,108
S1239,80,30,37,8,3,72,179
S1240,89,34,37,9,4,77,156
S1241,91,31,36,9,3,74,108
S1242,90,33,37,8,3,72,109
S1243,84,38,39,8,3,87,160
S1244,94,34,40,8,3,80,141
S1245,73,27,29,7,2,52,122
S1246,80,29,28,7,3,52,129
S1247,86,35,30,9,4,75,128
S1248,92,31,35,7,3,70,171
S1249,89,36,40,8,3,78,90
S1250,77,28,34,8,3,64,100
S1251,94,34,34,8,4,75,146
S1252,97,39,37,9,4,87,178
S1253,99,40,33,9,3,87,139
S1254,88,33,40,8,3,76,112
S1255,100,38,36,9,3,85,120
S1256,90,29,40,8,2,80,131
S1257,88,32,29,8,3,69,96
S1258,86,36,37,7,2,62,105
S1259,79,34,28,7,3,62,179
S1260,83,31,29,8,2,53,149
S1261,86,34,30,8,3,54,91
S1262,82,36,30,9,2,64,90
S1263,85,34,27,7,2,58,137
S1264,67,30,26,7,2,53,101
S1265,93,34,38,7,3,72,158
S1266,71,32,25,7,3,53,126
S1267,87,34,38,9,3,82,121
S1268,86,32,26,8,4,60,98
S1269,84,32,26,7,3,56,108
S1270,80,36,31,7,2,62,137
S1271,92,32,33,8,3,67,169
S1272,89,37,31,8,4,66,92
S1273,91,38,35,9,3,85,109
S1274,80,29,26,7,2,60,113
S1275,94,40,34,7,2,74,143
S1276,77,35,30,8,1,60,122
S1277,87,30,27,7,4,55,113
S1278,76,27,31,7,2,61,164
S1279,91,34,37,8,3,78,161
S1280,77,29,35,8,3,57,125
S1281,94,37,28,9,3,67,127
S1282,71,30,30,7,3,54,173
S1283,75,29,33,8,3,61,178
S1284,83,37,33,8,2,67,114
S1285,86,34,37,9,3,81,107
S1286,96,40,38,9,4,90,171
S1287,86,32,24,6,2,59,155
S1288,90,38,39,9,4,85,143
S1289,77,40,29,8,3,75,124
S1290,82,29,28,7,2,52,169
S1291,78,32,29,7,2,61,150
S1292,83,34,28,7,3,70,130
S1293,86,28,36,8,3,69,122
S1294,79,31,29,7,3,60,157
S1295,89,39,38,9,3,78,122
S1296,90,31,28,7,3,62,103
S1297,69,27,30,8,2,45,110
S1298,74,31,33,8,2,53,137
S1299,78,29,26,7,2,53,109
S1300,80,26,24,5,3,47,97
S1301,85,31,35,8,3,61,96
S1302,86,29,19,5,3,47,156
S1303,76,21,34,6,2,54,106
S1304,82,29,32,7,3,61,122
S1305,79,28,31,7,2,61,137
S1306,93,29,36,7,3,61,165
S1307,83,35,32,9,3,69,148
S1308,79,31,31,6,3,63,175
S1309,90,40,38,10,3,88,111
S1310,80,33,30,8,2,61,119
S1311,71,32,30,8,2,54,127
S1312,82,32,29,8,3,65,140
S1313,79,29,28,7,3,57,143
S1314,75,25,29,7,3,51,97
S1315,87,32,37,8,3,65,116
S1316,86,32,30,7,3,60,116
S1317,86,36,36,8,3,76,110
S1318,100,39,40,8,3,85,119
S1319,81,35,33,8,3,76,117
S1320,66,27,32,6,2,41,153
S1321,80,33,32,6,2,59,158
S1322,80,30,30,6,3,55,150
S1323,88,33,37,7,3,68,137
S1324,92,32,31,7,3,70,108
S1325,86,32,29,7,3,63,93
S1326,68,31,21,6,2,38,124
S1327,81,26,22,6,3,55,153
S1328,83,38,29,8,3,72,138
S1329,74,27,27,6,3,49,106
S1330,91,31,35,8,3,64,133
S1331,81,27,22,5,2,40,119
S1332,77,29,31,8,3,68,135
S1333,84,38,26,7,3,71,95
S1334,77,32,25,7,3,47,126
S1335,85,28,33,7,3,62,113
S1336,91,31,35,8,3,69,135
S1337,83,31,39,7,3,70,142
S1338,76,30,30,7,3,50,149
S1339,74,32,24,8,2,56,152
S1340,86,40,35,9,2,80,174
S1341,78,28,35,8,2,50,121
S1342,82,34,36,8,3,63,176
S1343,78,31,32,7,3,55,122
S1344,81,36,40,9,2,70,156
S1345,93,38,37,9,4,89,107
S1346,79,28,34,7,3,54,114
S1347,84,26,24,6,2,40,143
S1348,76,33,26,7,2,53,147
S1349,81,27,37,8,2,48,156
S1350,82,31,39,8,3,73,135
S1351,82,35,36,9,3,76,113
S1352,83,28,33,6,2,55,121
S1353,76,29,29,7,3,52,136
S1354,82,30,31,7,2,60,175
S1355,96,40,36,9,3,89,112
S1356,78,30,33,7,3,62,155
S1357,91,30,33,8,4,74,116
S1358,100,37,40,8,3,92,91
S1359,83,29,35,7,2,64,179
S1360,96,40,35,8,2,79,106
S1361,75,23,27,6,2,48,122
S1362,95,31,39,8,3,77,98
S1363,87,38,29,7,2,72,132
S1364,95,36,28,6,2,63,137
S1365,78,31,33,7,2,67,128
S1366,86,39,39,9,3,78,131
S1367,76,36,29,7,3,58,115
S1368,82,36,28,6,3,58,139
S1369,71,24,21,6,2,41,114
S1370,84,31,35,8,3,66,113
S1371,78,33,24,7,2,47,102
S1372,79,37,29,9,2,69,149
S1373,92,31,31,7,2,70,96
S1374,66,23,29,7,2,47,146
S1375,77,33,27,7,4,70,125
S1376,77,27,24,6,2,48,134
S1377,88,29,27,7,3,59,109
S1378,94,36,28,8,4,69,154
S1379,83,32,32,7,4,61,97
S1380,81,30,35,7,2,60,105
S1381,94,30,32,7,3,65,103
S1382,88,28,36,7,3,62,165
S1383,85,32,35,7,2,61,176
S1384,94,38,36,9,3,74,104
S1385,86,30,30,7,3,61,155
S1386,80,36,30,7,3,61,121
S1387,95,40,34,9,4,76,176
S1388,88,35,33,7,3,63,152
S1389,80,25,29,5,3,51,175
S1390,77,29,32,7,3,56,140
S1391,84,39,37,7,4,82,114
S1392,87,29,32,6,2,56,147
S1393,83,34,34,8,3,72,152
S1394,81,26,37,7,3,57,151
S1395,85,34,34,8,3,61,111
S1396,99,40,40,10,3,88,147
S1397,88,31,36,8,2,70,147
S1398,89,30,31,8,2,61,175
S1399,84,31,34,7,2,71,138
S1400,88,33,36,7,3,81,141
S1401,85,31,32,8,3,62,131
S1402,91,40,31,8,3,71,159
S1403,84,32,32,8,3,67,104
S1404,90,34,35,8,3,66,143
S1405,86,28,31,8,2,58,149
S1406,91,31,31,6,4,62,97
S1407,75,29,35,7,3,55,142
S1408,82,25,36,7,3,62,149
S1409,100,40,34,7,3,85,94
S1410,99,39,39,8,3,88,157
S1411,100,38,32,8,3,69,95
S1412,89,36,35,7,3,69,136
S1413,83,28,30,7,3,57,144
S1414,92,35,34,9,3,80,129
S1415,81,25,36,7,3,50,141
S1416,93,34,40,9,3,86,105
S1417,77,27,29,5,3,51,102
S1418,91,38,30,8,2,63,119
S1419,72,31,21,6,3,47,108
S1420,85,33,38,8,3,67,106
S1421,99,39,38,9,2,79,152
S1422,70,27,32,7,2,50,108
S1423,88,35,34,9,2,69,147
S1424,81,36,30,8,2,66,144
S1425,98,38,38,8,3,74,179
S1426,70,30,28,6,2,44,179
S1427,74,30,26,7,3,50,151
S1428,100,33,34,8,2,71,112
S1429,81,40,39,10,3,77,98
S1430,84,34,32,8,3,68,101
S1431,82,32,31,7,3,65,90
S1432,90,35,39,8,3,70,147
S1433,82,28,26,6,3,57,90
S1434,83,30,32,9,3,64,123
S1435,77,29,25,8,2,38,137
S1436,87,30,40,9,4,84,178
S1437,89,36,32,7,2,59,90
S1438,94,27,29,7,3,69,105
S1439,90,32,26,6,2,56,150
S1440,88,31,33,7,4,72,153
S1441,84,33,32,7,2,67,152
S1442,96,38,33,9,2,79,158
S1443,75,24,25,6,2,43,111
S1444,81,37,39,8,3,75,156
S1445,81,28,33,7,3,62,165
S1446,78,29,38,8,3,69,115
S1447,87,32,25,5,3,60,105
S1448,83,32,32,7,3,59,140
S1449,90,40,38,8,4,85,175
S1450,76,33,35,7,2,48,146
S1451,86,27,31,6,2,59,118
S1452,96,33,40,10,3,84,167
S1453,78,24,28,6,2,53,158
S1454,81,34,35,9,4,70,136
S1455,87,34,33,8,3,69,151
S1456,79,34,30,8,3,55,158
S1457,80,34,26,7,3,58,165
S1458,80,32,31,6,3,59,105
S1459,83,36,35,9,3,83,179
S1460,78,26,34,8,3,64,179
S1461,100,40,37,9,4,93,137
S1462,77,30,28,8,3,56,174
S1463,83,36,35,8,2,71,128
S1464,99,31,40,9,3,75,122
S1465,85,29,39,7,3,75,112
S1466,86,24,29,7,3,50,99
S1467,69,32,25,7,2,50,158
S1468,91,37,34,9,3,77,123
S1469,89,33,36,9,4,74,141
S1470,85,33,31,7,3,58,99
S1471,77,30,35,7,3,61,108
S1472,81,29,29,7,3,53,147
S1473,84,38,38,8,3,71,90
S1474,93,27,32,7,3,64,158
S1475,87,25,36,8,3,66,93
S1476,68,36,25,7,2,53,105
S1477,72,28,22,6,3,41,113
S1478,80,30,33,8,2,61,169
S1479,93,40,33,9,3,76,91
S1480,71,27,25,6,3,44,121
S1481,84,33,25,7,3,52,173
S1482,82,32,33,7,3,64,113
S1483,83,26,35,7,2,62,101
S1484,92,32,34,8,3,70,139
S1485,94,40,33,9,2,74,124
S1486,86,35,31,8,2,64,122
S1487,71,29,32,7,3,58,122
S1488,92,37,31,8,2,74,150
S1489,94,38,37,7,4,82,140
S1490,78,37,29,7,3,65,132
S1491,78,27,35,7,3,58,101
S1492,96,40,40,10,3,93,156
S1493,78,30,30,5,3,47,154
S1494,93,30,32,8,3,63,122
S1495,88,35,33,8,4,76,129
S1496,91,30,33,7,2,73,163
S1497,85,38,28,8,3,71,132
S1498,91,34,31,7,3,52,133
S1499,71,30,29,7,3,49,118
S1500,77,29,31,7,3,64,102
S1501,78,27,33,7,3,58,101
S1502,80,32,34,7,2,64,135
S1503,84,34,31,7,3,65,91
S1504,89,35,30,8,4,70,124
S1505,90,31,32,8,3,72,176
S1506,73,29,37,7,2,59,170
S1507,86,37,35,8,3,66,179
S1508,80,22,33,6,3,48,97
S1509,77,25,34,8,3,60,115
S1510,96,38,32,9,3,77,163
S1511,82,35,28,7,4,71,179
S1512,86,25,37,8,3,66,123
S1513,78,28,32,8,3,59,96
S1514,90,33,37,9,3,74,157
S1515,81,23,27,6,2,49,147
S1516,79,25,31,6,3,59,164
S1517,79,27,22,6,2,36,118
S1518,91,26,34,6,2,71,125
S1519,97,33,40,8,4,84,178
S1520,90,40,37,9,4,84,110
S1521,71,34,31,9,3,64,125
S1522,82,31,32,7,4,63,99
S1523,100,31,37,8,3,74,162
S1524,88,26,28,5,4,60,113
S1525,82,28,31,7,3,56,153
S1526,86,30,34,8,2,62,138
S1527,75,24,31,6,3,50,125
S1528,83,27,36,7,3,53,171
S1529,79,25,27,6,3,40,113
S1530,82,30,33,7,3,68,112
S1531,89,36,31,8,3,71,151
S1532,93,40,35,7,3,76,126
S1533,77,19,31,6,3,55,101
S1534,74,31,40,9,3,74,144
S1535,88,35,40,8,3,82,102
S1536,87,36,32,7,3,68,112
S1537,89,35,36,8,3,73,178
S1538,76,29,35,9,2,57,119
S1539,91,40,36,8,3,78,106
S1540,80,25,30,6,3,58,151
S1541,92,29,36,7,3,63,173
S1542,89,37,32,8,4,77,178
S1543,86,32,33,8,3,63,175
S1544,78,27,31,6,2,53,102
S1545,76,28,27,8,3,51,148
S1546,79,27,26,6,2,46,108
S1547,77,25,29,6,3,50,138
S1548,87,36,27,8,3,59,101
S1549,83,38,31,8,3,71,150
S1550,86,30,35,8,3,68,108
S1551,84,28,40,7,2,64,165
S1552,86,33,29,7,2,65,98
S1553,85,39,35,9,3,76,160
S1554,84,32,27,7,3,59,117
S1555,87,32,37,7,3,71,167
S1556,75,32,26,7,3,49,141
S1557,78,34,31,8,2,64,172
S1558,80,28,27,8,2,58,105
S1559,65,29,24,7,1,51,158
S1560,97,36,33,8,3,74,101
S1561,79,26,24,7,2,41,114
S1562,86,35,30,7,4,66,141
S1563,81,28,27,7,3,64,174
S1564,79,34,28,7,2,50,142
S1565,77,28,26,7,3,51,112
S1566,89,34,35,8,3,83,105
S1567,88,33,35,7,3,70,146
S1568,86,30,30,8,2,64,128
S1569,94,24,40,7,3,75,142
S1570,90,30,30,6,3,56,131
S1571,81,27,25,7,4,50,147
S1572,85,26,29,7,2,57,128
S1573,82,24,32,6,3,53,103
S1574,100,39,40,9,3,91,94
S1575,86,31,33,8,4,70,124
S1576,68,18,28,4,3,49,176
S1577,100,39,35,8,4,85,164
S1578,74,20,35,6,2,52,107
S1579,100,37,37,8,3,82,165
S1580,85,31,37,8,3,78,98
S1581,86,34,34,8,3,70,163
S1582,88,36,34,9,3,80,147
S1583,84,37,40,8,3,77,106
S1584,90,37,31,7,3,71,96
S1585,82,30,33,8,2,66,135
S1586,74,23,25,6,3,40,102
S1587,88,33,35,8,3,68,129
S1588,87,34,28,7,3,68,131
S1589,85,33,37,10,3,81,98
S1590,94,30,36,8,3,77,139
S1591,89,34,32,8,3,70,116
S1592,89,32,34,8,3,70,155
S1593,86,40,40,9,3,80,94
S1594,78,32,24,6,3,49,118
S1595,80,31,34,8,3,64,126
S1596,86,37,40,9,3,81,127
S1597,80,39,28,7,3,65,172
S1598,89,38,26,6,3,62,97
S1599,90,32,32,7,4,68,154
S1600,90,35,30,7,2,75,175
S1601,96,38,40,9,3,81,106
S1602,78,27,31,7,3,68,160
S1603,69,33,34,8,2,46,178
S1604,86,25,35,6,3,58,134
S1605,93,33,38,8,3,80,93
S1606,80,26,21,6,3,44,125
S1607,83,31,30,7,3,65,159
S1608,86,31,32,7,3,64,120
S1609,83,31,37,7,3,57,108
S1610,89,36,34,9,3,69,150
S1611,86,29,26,8,2,60,143
S1612,74,30,31,6,2,54,128
S1613,99,29,32,6,3,61,163
S1614,91,35,37,8,3,80,179
S1615,86,35,34,8,2,66,108
S1616,86,34,31,8,3,70,128
S1617,77,32,33,7,2,53,156
S1618,76,30,31,7,2,50,134
S1619,78,26,26,7,3,51,102
S1620,91,28,35,7,3,63,147
S1621,99,33,40,7,5,83,109
S1622,93,35,40,8,3,76,161
S1623,83,25,26,7,2,46,150
S1624,90,29,29,7,3,62,128
S1625,96,31,37,8,3,74,90
S1626,80,30,27,7,2,51,92
S1627,94,38,35,8,3,76,166
S1628,91,29,30,7,4,74,151
S1629,79,24,34,7,3,58,152
S1630,90,34,35,10,4,77,114
S1631,100,27,35,8,3,79,145
S1632,83,33,32,8,4,67,122
S1633,93,29,32,7,2,63,127
S1634,83,27,33,6,2,54,95
S1635,93,30,34,8,2,54,147
S1636,79,28,32,6,3,60,133
S1637,82,38,35,9,3,80,134
S1638,88,33,28,7,2,63,121
S1639,95,35,40,7,3,80,134
S1640,96,37,40,9,3,86,150
S1641,82,26,35,7,3,65,136
S1642,93,39,38,9,3,87,110
S1643,92,36,40,9,4,85,169
S1644,98,29,40,8,3,79,174
S1645,82,25,26,6,3,52,164
S1646,80,28,35,8,2,65,125
S1647,96,35,37,8,3,74,108
S1648,76,35,29,7,2,52,109
S1649,81,37,29,8,4,65,146
S1650,79,30,28,8,3,60,107
S1651,88,31,34,7,3,60,136
S1652,79,34,28,7,3,64,138
S1653,79,34,34,8,3,64,103
S1654,89,40,30,9,3,70,104
S1655,98,37,37,8,4,86,120
S1656,90,30,36,7,3,60,90
S1657,90,28,34,7,3,73,143
S1658,85,34,37,9,3,76,92
S1659,88,31,30,7,3,66,105
S1660,83,29,31,8,3,67,176
S1661,82,27,34,8,3,57,146
S1662,75,25,31,8,3,50,164
S1663,83,32,37,9,3,77,101
S1664,85,31,27,7,3,57,163
S1665,93,35,37,8,3,73,105
S1666,86,30,26,7,2,53,161
S1667,84,33,36,7,4,72,165
S1668,73,36,34,8,2,65,113
S1669,71,26,35,7,2,47,117
S1670,85,32,37,8,3,67,97
S1671,82,36,29,7,3,66,125
S1672,86,31,28,7,3,66,179
S1673,80,32,32,7,2,60,97
S1674,88,32,34,7,2,76,147
S1675,77,24,33,6,2,46,149
S1676,93,38,33,8,3,76,139
S1677,94,39,34,9,3,81,117
S1678,60,23,16,5,2,31,130
S1679,83,33,27,7,2,54,153
S1680,74,30,31,7,3,62,116
S1681,84,33,30,9,3,62,152
S1682,73,34,28,9,2,62,106
S1683,66,32,21,5,3,40,162
S1684,85,36,26,7,2,60,122
S1685,88,23,27,6,3,53,173
S1686,86,34,31,8,3,62,166
S1687,100,40,40,10,3,86,118
S1688,91,28,31,6,3,59,102
S1689,82,29,35,7,3,61,135
S1690,77,28,27,6,2,55,124
S1691,81,29,34,7,3,61,95
S1692,81,30,29,6,2,54,171
S1693,89,33,32,7,4,73,158
S1694,82,29,32,8,4,69,136
S1695,87,38,29,8,3,65,114
S1696,88,31,38,8,4,75,155
S1697,86,34,33,8,3,67,99
S1698,81,32,29,8,3,48,145
S1699,88,27,36,8,3,63,119
S1700,94,33,34,6,3,65,94
S1701,68,31,27,7,3,48,122
S1702,99,33,35,8,3,75,154
S1703,78,34,31,8,2,56,107
S1704,73,26,29,7,3,53,138
S1705,91,37,29,8,2,66,100
S1706,87,32,39,8,3,75,174
S1707,86,35,29,7,3,60,115
S1708,90,28,33,7,2,67,152
S1709,90,31,30,8,2,60,178
S1710,89,30,33,8,4,68,175
S1711,85,40,34,8,2,76,148
S1712,60,28,26,5,3,40,116
S1713,90,37,37,9,3,83,138
S1714,89,35,33,7,3,64,166
S1715,80,28,36,8,2,59,122
S1716,80,32,34,8,3,62,90
S1717,89,38,31,8,3,74,110
S1718,81,34,37,8,2,73,144
S1719,74,30,29,6,3,58,95
S1720,74,31,31,7,2,49,170
S1721,87,28,30,6,2,54,158
S1722,87,26,37,8,2,60,94
S1723,95,37,27,9,4,68,92
S1724,77,30,28,7,3,47,142
S1725,92,26,33,6,3,59,112
S1726,84,29,27,7,3,53,142
S1727,76,25,27,7,2,47,126
S1728,87,40,39,9,2,76,163
S1729,89,40,40,8,3,80,163
S1730,98,34,37,8,3,77,172
S1731,76,23,29,6,2,39,106
S1732,72,28,24,6,3,45,174
S1733,92,29,28,6,2,61,167
S1734,80,32,30,8,3,58,162
S1735,86,25,37,7,4,63,90
S1736,82,32,30,7,3,64,140
S1737,86,32,28,7,2,62,134
S1738,75,32,28,7,2,60,166
S1739,100,39,34,9,3,84,93
S1740,82,28,40,7,3,68,151
S1741,83,40,36,8,2,72,154
S1742,77,27,29,7,2,52,121
S1743,85,31,38,9,3,67,123
S1744,88,35,33,7,4,72,161
S1745,87,33,34,9,3,75,128
S1746,83,34,28,6,2,55,115
S1747,78,33,22,7,3,59,123
S1748,88,30,37,8,3,65,143
S1749,82,28,28,6,3,53,92
S1750,74,21,35,7,2,49,139
S1751,78,24,30,6,3,52,101
S1752,81,32,36,7,2,74,154
S1753,81,29,28,7,3,59,143
S1754,63,22,27,6,2,44,94
S1755,88,32,39,9,3,78,146
S1756,86,35,34,8,3,67,106
S1757,80,30,31,6,2,50,136
S1758,87,34,24,8,2,65,112
S1759,85,32,30,8,3,60,168
S1760,82,32,32,8,3,62,174
S1761,82,36,38,9,3,81,103
S1762,81,26,35,6,3,54,155
S1763,87,39,29,8,3,73,164
S1764,84,25,31,8,3,60,140
S1765,91,27,36,7,3,58,127
S1766,84,36,34,9,2,66,153
